aX,aY,aZ
0.905,0.45,0.03
0.903,0.445,0.042
0.881,0.471,0.037
0.865,0.496,0.014
0.843,0.518,0.005
0.839,0.329,-0.025
0.807,0.399,-0.039
0.763,0.605,-0.126
0.714,0.629,-0.147
0.699,0.606,-0.156
0.696,0.596,-0.14
0.696,0.637,-0.138
0.699,0.646,-0.131
0.69,0.645,-0.122
0.676,0.646,-0.104
0.666,0.652,-0.105
0.655,0.654,-0.112
0.645,0.676,-0.114
0.647,0.691,-0.117
0.643,0.718,-0.114
0.651,0.729,-0.088
0.684,0.717,-0.07
0.698,0.677,-0.039
0.716,0.657,-0.028
0.719,0.621,-0.025
0.703,0.603,-0.032
0.692,0.564,-0.056
0.646,0.545,-0.068
0.623,0.502,-0.096
0.588,0.474,-0.129
0.557,0.424,-0.143
0.539,0.397,-0.165
0.508,0.338,-0.176
0.492,0.305,-0.194
0.445,0.236,-0.209
0.428,0.2,-0.239
0.415,0.147,-0.258
0.406,0.119,-0.299
0.376,0.12,-0.317
0.363,0.132,-0.362
0.333,0.137,-0.392
0.322,0.155,-0.464
0.332,0.171,-0.491
0.371,0.183,-0.526
0.482,0.183,-0.529
0.643,0.161,-0.504
0.727,0.152,-0.407
0.884,0.132,-0.345
0.954,0.106,-0.238
1.077,0.029,-0.195
1.123,-0.015,-0.118
1.181,-0.083,-0.092
1.195,-0.12,-0.099
1.182,-0.127,-0.123
1.16,-0.129,-0.21
1.088,-0.133,-0.269
0.965,-0.115,-0.405
0.898,-0.089,-0.531
0.763,-0.06,-0.586
0.697,-0.056,-0.717
0.598,-0.117,-0.787
0.53,-0.154,-0.963
0.408,-0.07,-1.041
0.391,-0.047,-1.021
0.416,-0.068,-0.927
0.461,-0.071,-0.922
0.483,-0.069,-0.951
0.543,-0.067,-0.947
0.584,-0.07,-0.885
0.645,-0.09,-0.855
0.674,-0.11,-0.813
0.754,-0.118,-0.799
0.8,-0.122,-0.772
0.894,-0.126,-0.733
0.978,-0.141,-0.712
1.015,-0.15,-0.682
1.078,-0.162,-0.674
1.109,-0.172,-0.656
1.154,-0.179,-0.645
1.158,-0.207,-0.62
1.132,-0.226,-0.61
1.098,-0.262,-0.615
1.082,-0.27,-0.639
1.027,-0.269,-0.687
1.003,-0.256,-0.732
0.957,-0.251,-0.752
0.938,-0.251,-0.792
0.915,-0.25,-0.825
0.904,-0.243,-0.837
0.699,0.418,0.958
0.721,0.449,1.024
0.776,0.507,1.064
0.804,0.535,1.129
0.86,0.594,1.154
0.885,0.62,1.209
0.93,0.645,1.237
0.949,0.642,1.285
0.981,0.626,1.307
0.994,0.613,1.332
0.987,0.579,1.336
0.974,0.551,1.331
0.917,0.473,1.318
